;valor
MES_ABRIL;False
MES_AGOSTO;False
MES_DICIEMBRE;False
MES_ENERO;True
MES_FEBRERO;False
MES_JULIO;False
MES_JUNIO;False
MES_MARZO;False
MES_MAYO;False
MES_NOVIEMBRE;False
MES_OCTUBRE;False
MES_SEPTIEMBRE;False
DIA_DOMINGO;False
DIA_JUEVES;True
DIA_LUNES;False
DIA_MARTES;False
DIA_MIÉRCOLES;False
DIA_SÁBADO;False
DIA_VIERNES;False
HORA_00:00 A 00:59;False
HORA_01:00 A 01:59;False
HORA_02:00 A 02:59;False
HORA_03:00 A 03:59;False
HORA_04:00 A 04:59;False
HORA_05:00 A 05:59;False
HORA_06:00 A 06:59;False
HORA_07:00 A 07:59;False
HORA_08:00 A 08:59;False
HORA_09:00 A 09:59;False
HORA_10:00 A 10:59;False
HORA_11:00 A 11:59;False
HORA_12:00 A 12:59;False
HORA_13:00 A 13:59;False
HORA_14:00 A 14:59;False
HORA_15:00 A 15:59;False
HORA_16:00 A 16:59;False
HORA_17:00 A 17:59;False
HORA_18:00 A 18:59;False
HORA_19:00 A 19:59;False
HORA_20:00 A 20:59;True
HORA_21:00 A 21:59;False
HORA_22:00 A 22:59;False
HORA_23:00 A 23:59;False
PROVINCIA_AZUAY;False
PROVINCIA_BOLÍVAR;False
PROVINCIA_CARCHI;False
PROVINCIA_CAÑAR;False
PROVINCIA_CHIMBORAZO;False
PROVINCIA_COTOPAXI;False
PROVINCIA_EL ORO;False
PROVINCIA_ESMERALDAS;False
PROVINCIA_GALÁPAGOS;False
PROVINCIA_GUAYAS;False
PROVINCIA_IMBABURA;False
PROVINCIA_LOJA;False
PROVINCIA_LOS RÍOS;False
PROVINCIA_MANABÍ;False
PROVINCIA_MORONA SANTIAGO;False
PROVINCIA_NAPO;False
PROVINCIA_ORELLANA;False
PROVINCIA_PASTAZA;False
PROVINCIA_PICHINCHA;True
PROVINCIA_SANTA ELENA;False
PROVINCIA_SANTO DOMINGO DE LOS TSÁCHILAS;False
PROVINCIA_SUCUMBÍOS;False
PROVINCIA_TUNGURAHUA;False
PROVINCIA_ZAMORA CHINCHIPE;False
CANTON_24 DE MAYO;False
CANTON_ALAUSI;False
CANTON_ALFREDO BAQUERIZO MORENO;False
CANTON_AMBATO;False
CANTON_ANTONIO ANTE;False
CANTON_ARAJUNO;False
CANTON_ARENILLAS;False
CANTON_ATACAMES;False
CANTON_ATAHUALPA;False
CANTON_AZOGUES;False
CANTON_BABA;False
CANTON_BABAHOYO;False
CANTON_BALAO;False
CANTON_BALSAS;False
CANTON_BALZAR;False
CANTON_BAÑOS DE AGUA SANTA;False
CANTON_BOLIVAR;False
CANTON_BUENA FE;False
CANTON_CALUMA;False
CANTON_CALVAS;False
CANTON_CAMILO PONCE ENRIQUEZ;False
CANTON_CATAMAYO;False
CANTON_CAYAMBE;False
CANTON_CAÑAR;False
CANTON_CHILLANES;False
CANTON_CHINCHIPE;False
CANTON_CHONE;False
CANTON_CHORDELEG;False
CANTON_COLIMES;False
CANTON_COLTA;False
CANTON_CORONEL MARCELINO MARIDUEÑA;False
CANTON_COTACACHI;False
CANTON_CUENCA;False
CANTON_CUMANDA;False
CANTON_DAULE;False
CANTON_DISTRITO METROPOLITANO DE QUITO;True
CANTON_DURAN;False
CANTON_ECHEANDIA;False
CANTON_EL CARMEN;False
CANTON_EL CHACO;False
CANTON_EL EMPALME;False
CANTON_EL GUABO;False
CANTON_EL PAN;False
CANTON_EL TRIUNFO;False
CANTON_ELOY ALFARO;False
CANTON_ESMERALDAS;False
CANTON_ESPEJO;False
CANTON_GENERAL  ANTONIO ELIZALDE;False
CANTON_GIRON;False
CANTON_GUACHAPALA;False
CANTON_GUALACEO;False
CANTON_GUALAQUIZA;False
CANTON_GUANO;False
CANTON_GUARANDA;False
CANTON_GUAYAQUIL;False
CANTON_HUAMBOYA;False
CANTON_HUAQUILLAS;False
CANTON_IBARRA;False
CANTON_ISIDRO AYORA;False
CANTON_JIPIJAPA;False
CANTON_JUNIN;False
CANTON_LA CONCORDIA;False
CANTON_LA JOYA DE LOS SACHAS;False
CANTON_LA LIBERTAD;False
CANTON_LA MANA;False
CANTON_LA TRONCAL;False
CANTON_LAGO AGRIO;False
CANTON_LAS LAJAS;False
CANTON_LAS NAVES;False
CANTON_LATACUNGA;False
CANTON_LIMON INDANZA;False
CANTON_LOGROÑO;False
CANTON_LOJA;False
CANTON_LOMAS DE SARGENTILLO;False
CANTON_LORETO;False
CANTON_MACARA;False
CANTON_MACHALA;False
CANTON_MANTA;False
CANTON_MEJIA;False
CANTON_MILAGRO;False
CANTON_MIRA;False
CANTON_MONTALVO;False
CANTON_MONTECRISTI;False
CANTON_MONTUFAR;False
CANTON_MORONA;False
CANTON_NABON;False
CANTON_NARANJAL;False
CANTON_NARANJITO;False
CANTON_NOBOL;False
CANTON_ORELLANA;False
CANTON_OTAVALO;False
CANTON_OÑA;False
CANTON_PAJAN;False
CANTON_PALESTINA;False
CANTON_PALLATANGA;False
CANTON_PALORA;False
CANTON_PALTAS;False
CANTON_PANGUA;False
CANTON_PAQUISHA;False
CANTON_PASAJE;False
CANTON_PASTAZA;False
CANTON_PATATE;False
CANTON_PAUTE;False
CANTON_PEDERNALES;False
CANTON_PEDRO CARBO;False
CANTON_PEDRO MONCAYO;False
CANTON_PEDRO VICENTE MALDONADO;False
CANTON_PICHINCHA;False
CANTON_PIMAMPIRO;False
CANTON_PINDAL;False
CANTON_PIÑAS;False
CANTON_PLAYAS;False
CANTON_PORTOVELO;False
CANTON_PORTOVIEJO;False
CANTON_PUCARA;False
CANTON_PUEBLOVIEJO;False
CANTON_PUERTO LOPEZ;False
CANTON_PUERTO QUITO;False
CANTON_PUJILI;False
CANTON_PUTUMAYO;False
CANTON_QUERO;False
CANTON_QUEVEDO;False
CANTON_QUIJOS;False
CANTON_QUININDE;False
CANTON_RIOBAMBA;False
CANTON_RIOVERDE;False
CANTON_ROCAFUERTE;False
CANTON_RUMIÑAHUI;False
CANTON_SALCEDO;False
CANTON_SALINAS;False
CANTON_SALITRE;False
CANTON_SAMBORONDON;False
CANTON_SAN CRISTOBAL;False
CANTON_SAN JACINTO DE YAGUACHI;False
CANTON_SAN JUAN BOSCO;False
CANTON_SAN LORENZO;False
CANTON_SAN MIGUEL;False
CANTON_SAN MIGUEL DE LOS BANCOS;False
CANTON_SAN MIGUEL DE URCUQUI;False
CANTON_SAN PEDRO DE PELILEO;False
CANTON_SAN VICENTE;False
CANTON_SANTA ANA;False
CANTON_SANTA CRUZ;False
CANTON_SANTA ELENA;False
CANTON_SANTA ISABEL;False
CANTON_SANTA LUCIA;False
CANTON_SANTA ROSA;False
CANTON_SANTIAGO;False
CANTON_SANTIAGO DE PILLARO;False
CANTON_SANTO DOMINGO;False
CANTON_SAQUISILI;False
CANTON_SARAGURO;False
CANTON_SEVILLA DE ORO;False
CANTON_SHUSHUFINDI;False
CANTON_SIGCHOS;False
CANTON_SIGSIG;False
CANTON_SIMON BOLIVAR;False
CANTON_SUCRE;False
CANTON_SUCUA;False
CANTON_SUCUMBIOS;False
CANTON_TAISHA;False
CANTON_TENA;False
CANTON_TIWINTZA;False
CANTON_TOSAGUA;False
CANTON_TULCAN;False
CANTON_VALENCIA;False
CANTON_VENTANAS;False
CANTON_VINCES;False
CANTON_YANTZAZA;False
CANTON_ZAMORA;False
CANTON_ZAPOTILLO;False
CANTON_ZARUMA;False
ZONA_RURAL;False
ZONA_URBANA;True
